subject_index,subject_id,plain_count_b,roll_count_b,pair_count_b,plain_count_c,roll_count_c,pair_count_c,challenge_record_count,retained_challenge_fingers,duplicate_identity_status,selection_seed,selection_method
1,00001006,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
2,00001018,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
3,00001020,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
4,00001054,10,10,10,10,10,10,2,7,none,20260720,sorted_seeded_sample
5,00001082,10,10,10,10,10,10,2,5,none,20260720,sorted_seeded_sample
6,00001095,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
7,00001096,10,10,10,10,10,10,6,"5,7,10",none,20260720,sorted_seeded_sample
8,00001106,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
9,00001131,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
10,00001150,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
11,00001158,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
12,00001161,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
13,00001166,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
14,00001168,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
15,00001175,10,10,10,10,10,10,6,"4,5,10",none,20260720,sorted_seeded_sample
16,00001233,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
17,00001245,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
18,00001280,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
19,00001296,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
20,00001300,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
21,00001324,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
22,00001325,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
23,00001337,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
24,00001349,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
25,00001367,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
26,00001380,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
27,00001389,10,10,10,10,10,10,14,"3,4,5,7,8,9,10",none,20260720,sorted_seeded_sample
28,00001403,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
29,00001406,10,10,10,10,10,10,4,"7,10",none,20260720,sorted_seeded_sample
30,00001411,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
31,00001423,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
32,00001435,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
33,00001474,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
34,00001522,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
35,00001537,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
36,00001548,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
37,00001574,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
38,00001612,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
39,00001650,10,10,10,10,10,10,4,"2,6",none,20260720,sorted_seeded_sample
40,00001657,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
41,00001701,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
42,00001705,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
43,00001728,10,10,10,10,10,10,6,"2,9,10",none,20260720,sorted_seeded_sample
44,00001732,10,10,10,10,10,10,2,2,none,20260720,sorted_seeded_sample
45,00001792,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
46,00001802,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
47,00001824,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
48,00001825,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
49,00001843,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
50,00001880,10,10,10,10,10,10,0,,none,20260720,sorted_seeded_sample
